,Exercise ,Difficulty Level,Target Muscle Group ,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Combination Exercises,Mechanics
,Single Arm Indian Club Inner Heart Shaped Swing,Novice,Shoulders,Indian Club,Standing,Single Arm,Continuous,Neutral,Single Exercise,
,Alternating Double Indian Club Inner Heart Shaped Swing,Intermediate,Shoulders,Indian Club,Standing,Double Arm,Alternating,Neutral,Single Exercise,
,Double Indian Club Crescent Swing,Advanced,Shoulders,Indian Club,Standing,Double Arm,Alternating,Neutral,Single Exercise,
,Single Arm Clubbell Barbarian Squat,Novice,Quadriceps,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Single Leg Standing Bent Knee Ipsilateral Shield Cast,Advanced,Shoulders,Clubbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Order Cyclist Squat,Intermediate,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Order Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Clubbell,Single Leg Supported,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Double Clubbell Side Flag Press,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Clubbell Side Flag Press,Intermediate,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Side Shoulder Cast,Intermediate,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Order Squat,Beginner,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Order Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Clubbell,Single Leg Supported,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Order Squat,Novice,Quadriceps,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Order Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Macebell Front Swing to 360,Advanced,Shoulders,Macebell,Standing,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Single Arm Ring Dead Hang,Novice,Back,Gymnastic Rings,Hanging,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Clubbell Torch Press,Novice,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Torch Press,Novice,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Torch Press,Novice,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Double Clubbell Torch Press,Novice,Shoulders,Clubbell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Clubbell Front Flag Press,Novice,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Front Flag Press,Novice,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Double Clubbell Front Flag Press,Novice,Shoulders,Clubbell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Double Indian Club Lateral Internal and External Rotations,Novice,Shoulders,Indian Club,Standing,Double Arm,Continuous,Neutral,Single Exercise,
,Single Arm Indian Club Lateral Internal and External Rotation,Novice,Shoulders,Indian Club,Standing,Single Arm,Continuous,Neutral,Single Exercise,
,Double Indian Club Overhead Arm Circles,Novice,Shoulders,Indian Club,Standing,Double Arm,Continuous,Neutral,Single Exercise,
,Double Indian Club Lateral Arm Circles,Novice,Shoulders,Indian Club,Standing,Double Arm,Continuous,Neutral,Single Exercise,
,Resistance Band Shoulder Dislocates,Novice,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Reverse Grip Bicep Curl,Novice,Forearms,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Bulgarian Bag Side to Side Swing,Intermediate,Abdominals,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Reverse Grip Bicep Curl,Intermediate,Forearms,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Cable Straight Bar Reverse Grip Bicep Curl,Novice,Forearms,Cable,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Cable Straight Bar Bicep Curl,Beginner,Biceps,Cable,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Clubbell Clean,Novice,Glutes,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Clean,Novice,Glutes,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Clean,Novice,Glutes,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Reverse Mill,Intermediate,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Spin,Advanced,Shoulders,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Alternating Spin,Advanced,Shoulders,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Alternating Spin to Side Swing Squat,Advanced,Shoulders,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Bulgarian Bag Swipe,Intermediate,Glutes,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Snatch,Intermediate,Glutes,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Alternating Rotational Snatch,Advanced,Shoulders,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Alternating Side Swing Squat,Advanced,Abdominals,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Clean,Intermediate,Glutes,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Swing,Novice,Glutes,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Front Squat,Novice,Quadriceps,Bulgarian Bag,Standing,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Bulgarian Bag Back Squat,Novice,Quadriceps,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Swing Squat,Advanced,Glutes,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bulgarian Bag Alternating Forward Lunge with Rotation,Intermediate,Quadriceps,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Tall Kneeling Gamma Cast,Intermediate,Shoulders,Clubbell,Tall Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Tall Kneeling Shield Cast,Intermediate,Shoulders,Clubbell,Tall Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Tall Kneeling Shield Cast,Intermediate,Shoulders,Clubbell,Tall Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Swipe to Alternating Shield Cast,Advanced,Shoulders,Clubbell,Standing,Double Arm,Alternating,Neutral,Combo Exercise,Compound
,Double Clubbell Order Cyclist Squat,Intermediate,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Order Cyclist Squat,Intermediate,Quadriceps,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Mill,Intermediate,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Mill,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Cable Reverse Grip Bicep Curl,Novice,Forearms,Cable,Standing,Single Arm,Continuous,Pronated,Single Exercise,Isolation
,Dumbbell Goblet Low Switch Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Kettlebell Goblet Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Double Kettlebell Front Rack Cossack Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Overhead Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Cossack Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Dumbbell Front Rack Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Overhead Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Low Hold Alternating Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Low Hold Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Kettlebell Low Hold Cossack Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Low Hold Alternating Cossack Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Low Switch Cossack Squat,Novice,Quadriceps,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Cossack Squat,Beginner,Quadriceps,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Suspension Alternating Cossack Squat,Beginner,Quadriceps,Suspension Trainer,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Suspension Cossack Squat,Beginner,Quadriceps,Suspension Trainer,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Suspension Low Switch Cossack Squat,Novice,Quadriceps,Suspension Trainer,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Foot Elevated Cossack Squat,Beginner,Quadriceps,Suspension Trainer,Foot Elevated Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Suspension Foot Elevated Cossack Squat,Beginner,Quadriceps,Suspension Trainer,Foot Elevated Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Overhead Cossack Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Rack Low Switch Cossack Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Rack Foot Elevated Cossack Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Back Rack Low Switch Cossack Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Back Rack Foot Elevated Cossack Squat,Advanced,Quadriceps,Barbell,Foot Elevated Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Back Rack Cossack Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Rack Cossack Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Landmine Goblet Cossack Squat,Intermediate,Quadriceps,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine Goblet Low Switch Cossack Squat,Advanced,Quadriceps,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine Goblet Foot Elevated Cossack Squat,Advanced,Quadriceps,Landmine,Foot Elevated Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine Low Hold Cossack Squat,Intermediate,Quadriceps,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine Low Hold Low Switch Cossack Squat,Advanced,Quadriceps,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine Low Hold Foot Elevated Cossack Squat,Advanced,Quadriceps,Landmine,Foot Elevated Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Goblet Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Dumbbell Goblet Foot Elevated Cossack Squat,Intermediate,Quadriceps,Dumbbell,Foot Elevated Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Double Dumbbell Overhead Low Switch Cossack Squat,Advanced,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Overhead Foot Elevated Cossack Squat,Advanced,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Front Rack Foot Elevated Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Front Rack Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dummbell Front Rack Foot Elevated Cossack Squat,Intermediate,Quadriceps,Dumbbell,Foot Elevated Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Low Hold Low Switch Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Low Hold Foot Elevated Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Low Hold Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Low Hold Alternating Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Low Hold Low Switch Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Low Hold Foot Elevated Cossack Squat,Intermediate,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Cossack Squat,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Foot Elevated Cossack Squat,Intermediate,Quadriceps,Kettlebell,Foot Elevated Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Order Alternating Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Order Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Order Foot Elevated Cossack Squat,Intermediate,Quadriceps,Clubbell,Foot Elevated Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Order Alternating Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Order Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Order Foot Elevated Cossack Squat,Intermediate,Quadriceps,Clubbell,Foot Elevated Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Front Flag Hold Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Front Flag Hold Alternating Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Front Flag Hold Low Switch Cossack Squat,Intermediate,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Front Flag Hold Foot Elevated Cossack Squat,Intermediate,Quadriceps,Clubbell,Foot Elevated Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Front Flag Hold Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Front Flag Hold Alternating Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Front Flag Hold Low Switch Cossack Squat,Intermediate,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Front Flag Hold Foot Elevated Cossack Squat,Intermediate,Quadriceps,Clubbell,Foot Elevated Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Order Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Order Alternating Cossack Squat,Novice,Quadriceps,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
